Date/Time,CPU Usage %,Memory Available
2022-04-03 15:20:56.160318,18.4,18.94913864
2022-04-03 15:21:06.686981,16.7,18.90554428
2022-04-03 15:21:17.143651,15.9,18.91533661
2022-04-03 15:21:27.671094,13.9,18.94385147
2022-04-03 15:21:38.130320,15.6,18.95051193
2022-04-03 15:21:48.565540,13.2,18.92187119
2022-04-03 15:21:59.148638,14.1,18.97729111
2022-04-03 15:22:09.576065,14.2,19.01224518
2022-04-03 15:22:19.993636,14.2,19.01911545
2022-04-03 15:22:30.443634,13.6,18.85961533
2022-04-03 15:22:40.876976,15.1,18.74009705
2022-04-03 15:22:51.353643,16.3,18.59231567
2022-04-03 15:23:01.786968,17.3,18.38156891
2022-04-03 15:23:12.211315,10.2,18.48748779
2022-04-03 15:23:22.622290,5.9,18.50677109
2022-04-03 15:23:33.056987,7,18.55364609
2022-04-03 15:23:43.487047,6.9,18.55957794
2022-04-03 15:23:53.890307,5.6,18.56345749
2022-04-03 15:24:04.339444,6.2,18.56911469
2022-04-03 15:24:14.786961,5.8,18.56029129
2022-04-03 15:24:25.200292,5.8,18.56762314
2022-04-03 15:24:35.633628,6,18.54838181
2022-04-03 15:24:46.113627,7,18.56546021
2022-04-03 15:24:56.546957,6.2,18.54925537
2022-04-03 15:25:06.986955,5.7,18.55378342
2022-04-03 15:25:17.414639,5.6,18.55620956
2022-04-03 15:25:27.846979,6.1,18.5412941
2022-04-03 15:25:38.360288,6.2,18.53311157
2022-04-03 15:25:48.846955,5.8,18.53146362
2022-04-03 15:25:59.280283,5.1,18.53868484
2022-04-03 15:26:09.783627,5.6,18.5265274
2022-04-03 15:26:20.201160,7.5,18.63087463
2022-04-03 15:26:30.610276,5.8,18.65403366
2022-04-03 15:26:41.050278,6.3,18.63504028
2022-04-03 15:26:51.486942,5,18.64460754
2022-04-03 15:27:02.183621,5.3,18.63503647
2022-04-03 15:27:12.613609,5.4,18.62692261
2022-04-03 15:27:23.050334,5.3,18.63298416
2022-04-03 15:27:33.490276,7,18.59415817
2022-04-03 15:27:43.936956,14.1,18.49482727
2022-04-03 15:27:54.376952,15.2,18.51218033
2022-04-03 15:28:04.800283,8.9,18.53927994
2022-04-03 15:28:15.243605,9,18.54388046
2022-04-03 15:28:25.683598,10.9,18.50167465
2022-04-03 15:28:36.093597,14.3,18.4804039
2022-04-03 15:28:46.576933,9.6,18.47262192
2022-04-03 15:28:57.006933,9.6,18.48437881
2022-04-03 15:29:07.536571,8.8,18.46660995
2022-04-03 15:29:17.976944,8.8,18.4763298
2022-04-03 15:29:28.433619,15,18.3979187
2022-04-03 15:29:38.876947,11.2,18.43704605
2022-04-03 15:29:49.376933,11.9,18.47850418
2022-04-03 15:29:59.800268,8.2,18.4845314
2022-04-03 15:30:10.273586,9.1,18.47542953
2022-04-03 15:30:20.707506,8.5,18.46035004
2022-04-03 15:30:31.160250,7.6,18.47544098
2022-04-03 15:30:41.603597,8.3,18.47771072
2022-04-03 15:30:52.086913,7.9,18.48177719
2022-04-03 15:31:02.543578,7.8,18.4672966
2022-04-03 15:31:12.981992,7.7,18.47472
2022-04-03 15:31:23.417965,8,18.47109985
2022-04-03 15:31:33.960260,7.6,18.45820999
2022-04-03 15:31:44.390246,9.2,18.4683342
2022-04-03 15:31:54.814020,8.5,18.45934677
2022-04-03 15:32:05.440252,8.6,18.46712875
2022-04-03 15:32:15.906379,7.7,18.4569931
2022-04-03 15:32:26.324505,7.8,18.46948624
2022-04-03 15:32:36.773577,7.6,18.46671677
2022-04-03 15:32:47.290248,8.6,18.45135498
2022-04-03 15:32:57.793570,7.9,18.45298386
2022-04-03 15:33:08.220244,7.8,18.45713043
2022-04-03 15:33:18.683572,7.5,18.45093918
2022-04-03 15:33:29.110240,7.6,18.44892883
2022-04-03 15:33:39.583577,8,18.43628311
2022-04-03 15:33:50.006906,7.9,18.45461273
2022-04-03 15:34:00.457507,7.4,18.4348259
2022-04-03 15:34:10.894705,8.7,18.41226196
2022-04-03 15:34:21.320245,8,18.43268585
2022-04-03 15:34:31.870238,8.9,18.45287704
2022-04-03 15:34:42.286898,8.5,18.45079803
2022-04-03 15:34:52.783559,7.7,18.45996857
2022-04-03 15:35:03.223572,7.5,18.45824814
2022-04-03 15:35:13.657451,15.3,18.23255157
2022-04-03 15:35:24.227965,16.2,18.38722229
2022-04-03 15:35:34.650233,22.9,18.44041443
2022-04-03 15:35:45.090236,13.4,18.67453003
2022-04-03 15:35:55.513568,10.6,18.70681
2022-04-03 15:36:05.966423,10.9,18.70378494
2022-04-03 15:36:16.473579,10.9,18.73516846
2022-04-03 15:36:26.896894,9.9,18.69894028
2022-04-03 15:36:37.313561,10.4,18.70307922
2022-04-03 15:36:47.740225,10.1,18.68724823
2022-04-03 15:36:58.175911,16,18.64017487
2022-04-03 15:37:08.783588,13.8,18.62833023
2022-04-03 15:37:19.207711,10.8,18.66835403
2022-04-03 15:37:29.666892,15.4,18.60897064
2022-04-03 15:37:40.100218,15.4,18.62578583
2022-04-03 15:37:50.683549,13.5,18.61756516
2022-04-03 15:38:01.246880,11.2,18.65592957
2022-04-03 15:38:11.690219,12.6,18.65376282
2022-04-03 15:38:22.176870,12.7,18.62376022
2022-04-03 15:38:32.633549,12.4,18.59886169
2022-04-03 15:38:43.086888,16.5,18.63689423
2022-04-03 15:38:53.563533,12.7,18.6332016
2022-04-03 15:39:04.016877,11.4,18.64900208
2022-04-03 15:39:14.433537,9.7,18.63804245
2022-04-03 15:39:24.923533,14.2,18.57702255
2022-04-03 15:39:35.354546,17.5,18.48250198
2022-04-03 15:39:45.785776,15.4,18.50204086
2022-04-03 15:39:56.246865,18.8,18.53382874
2022-04-03 15:40:06.670205,13.7,18.58054733
2022-04-03 15:40:17.116886,9.3,18.58131027
2022-04-03 15:40:27.610207,9.6,18.5852623
2022-04-03 15:40:38.066870,10,18.58082962
2022-04-03 15:40:48.506856,9.7,18.58081818
2022-04-03 15:40:59.033538,9,18.56472015
2022-04-03 15:41:09.507887,9.5,18.557827
2022-04-03 15:41:19.970192,9.3,18.57388306
2022-04-03 15:41:30.393536,9.1,18.56077194
2022-04-03 15:41:40.809936,9.5,18.56654739
2022-04-03 15:41:51.306859,10,18.54536438
2022-04-03 15:42:01.743526,10.5,18.54442978
2022-04-03 15:42:12.283538,11.4,18.55832291
2022-04-03 15:42:22.725846,11.2,18.53408432
2022-04-03 15:42:33.159345,11.1,18.53996658
2022-04-03 15:42:43.590192,11.2,18.51259232
2022-04-03 15:42:53.990200,12.7,18.54798508
2022-04-03 15:43:04.433689,11.9,18.55926132
2022-04-03 15:43:14.860187,12.9,18.56705093
2022-04-03 15:43:25.286842,15.7,18.44446564
2022-04-03 15:43:35.706853,10,18.68811417
2022-04-03 15:43:46.155838,12,18.65789413
2022-04-03 15:43:56.810182,10.5,18.61831665
2022-04-03 15:44:07.346854,16.4,18.50859833
2022-04-03 15:44:17.786841,13.5,18.53237915
2022-04-03 15:44:28.246433,16.6,18.53656006
2022-04-03 15:44:38.690174,12.2,18.51829529
2022-04-03 15:44:49.163510,15.6,18.56784058
2022-04-03 15:44:59.693512,11.1,18.54298401
2022-04-03 15:45:10.133499,14.1,18.52063751
2022-04-03 15:45:20.636845,15.3,18.47946548
2022-04-03 15:45:31.093507,10.9,18.4658699
2022-04-03 15:45:41.533503,12.5,18.44799423
2022-04-03 15:45:51.983506,12,18.407547
2022-04-03 15:46:02.440183,11.1,18.36830521
2022-04-03 15:46:12.906839,10.5,18.37091064
2022-04-03 15:46:23.464452,10.8,18.55430603
2022-04-03 15:46:34.083501,12,18.56925583
2022-04-03 15:46:44.760157,12.6,18.56350327
2022-04-03 15:46:55.376817,12.9,18.58518219
2022-04-03 15:47:06.066818,11,18.59215927
2022-04-03 15:47:16.907529,10.7,18.55334854
2022-04-03 15:47:27.523490,16,18.54834366
2022-04-03 15:47:38.015873,12.2,18.55116272
2022-04-03 15:47:48.540155,9.8,18.56502533
2022-04-03 15:47:59.073485,9.6,18.5747261
2022-04-03 15:48:09.673499,10.1,18.55067444
2022-04-03 15:48:20.346811,10.2,18.55062103
2022-04-03 15:48:30.783485,9.8,18.55018997
2022-04-03 15:48:41.321563,10.2,18.53971481
2022-04-03 15:48:51.883484,9.4,18.53635788
2022-04-03 15:49:02.426815,10.3,18.56480026
2022-04-03 15:49:13.065339,9.7,18.5544548
2022-04-03 15:49:23.676818,9.5,18.57100677
2022-04-03 15:49:34.196816,9.8,18.57512283
2022-04-03 15:49:44.781919,10.6,18.55304718
2022-04-03 15:49:55.300137,9.4,18.54120255
2022-04-03 15:50:05.873211,9.3,18.53421402
2022-04-03 15:50:16.380135,9.8,18.53747177
2022-04-03 15:50:26.883468,9,18.54238892
2022-04-03 15:50:37.340135,9.8,18.52723312
2022-04-03 15:50:47.870127,9.3,18.5403595
2022-04-03 15:50:58.356798,10.4,18.53367615
2022-04-03 15:51:08.940131,9.1,18.53339386
2022-04-03 15:51:19.381004,10,18.53392029
2022-04-03 15:51:29.960146,9.6,18.53221512
2022-04-03 15:51:40.523461,10.5,18.53764725
2022-04-03 15:51:50.965782,10.1,18.52515411
2022-04-03 15:52:01.411590,9.8,18.52962112
2022-04-03 15:52:11.943459,9,18.52112198
2022-04-03 15:52:22.493473,8.6,18.50374603
2022-04-03 15:52:32.923464,9,18.48766708
2022-04-03 15:52:43.366888,10.1,18.97515869
2022-04-03 15:52:53.780070,9.9,18.99814606
2022-04-03 15:53:04.336790,10.3,19.02174759
2022-04-03 15:53:14.790119,9,19.0135994
2022-04-03 15:53:25.253454,9.2,19.0007782
2022-04-03 15:53:35.683467,8.8,19.01207733
2022-04-03 15:53:46.110120,11.6,18.99398804
2022-04-03 15:53:56.600119,10.4,18.99409103
2022-04-03 15:54:07.066786,10,18.98895264
2022-04-03 15:54:17.530114,10.6,18.97916794
2022-04-03 15:54:27.980119,10,18.99174118
2022-04-03 15:54:38.423441,9.3,18.96745682
2022-04-03 15:54:48.877585,10,18.98912048
2022-04-03 15:54:59.319249,9.8,18.99580765
2022-04-03 15:55:09.761306,9.1,19.00347137
2022-04-03 15:55:20.206778,9.5,18.98287964
2022-04-03 15:55:30.660116,10,18.96754074
2022-04-03 15:55:41.090237,9.7,18.92680359
2022-04-03 15:55:51.523453,9.2,18.89526749
2022-04-03 15:56:01.987614,9.8,18.871315
2022-04-03 15:56:12.410121,8.6,18.8421402
2022-04-03 15:56:22.841086,9.2,18.82823563
2022-04-03 15:56:33.276777,9,18.80775452
2022-04-03 15:56:43.730096,9.4,18.77294159
2022-04-03 15:56:54.166578,9.4,18.9917984
2022-04-03 15:57:04.583444,9.6,18.98876572
2022-04-03 15:57:15.016771,9.1,18.95510864
2022-04-03 15:57:25.616784,9.6,18.96723557
2022-04-03 15:57:36.050096,10.1,18.9687233
2022-04-03 15:57:46.576761,10.4,18.95078278
2022-04-03 15:57:57.040101,9.7,18.98424149
2022-04-03 15:58:07.473437,9.4,18.98015213
2022-04-03 15:58:18.033421,9.7,18.97590256
2022-04-03 15:58:28.483428,9.3,18.98243332
2022-04-03 15:58:38.926759,9.5,18.9559288
2022-04-03 15:58:49.375158,9.9,18.96869659
2022-04-03 15:58:59.846761,9.6,18.96007538
2022-04-03 15:59:10.286750,9.6,18.95724106
2022-04-03 15:59:20.774949,8.8,18.9382515
2022-04-03 15:59:31.223413,9.6,18.94733047
